time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-07 00:00:00+00:00,2,2,7,1
2025-10-08 00:00:00+00:00,0,0,3,1
2025-10-09 00:00:00+00:00,0,0,1,1
2025-10-13 00:00:00+00:00,0,0,4,1
2025-10-15 00:00:00+00:00,5,2,16,1
2025-10-16 00:00:00+00:00,1,1,0,0
2025-10-17 00:00:00+00:00,1,1,0,0
2025-10-18 00:00:00+00:00,1,1,0,0
2025-10-19 00:00:00+00:00,1,1,0,0
2025-10-20 00:00:00+00:00,1,1,0,0
2025-10-21 00:00:00+00:00,1,1,0,0
2025-10-22 00:00:00+00:00,1,1,0,0
2025-10-23 00:00:00+00:00,1,1,0,0
2025-10-24 00:00:00+00:00,1,1,0,0
2025-10-25 00:00:00+00:00,1,1,0,0
2025-10-26 00:00:00+00:00,1,1,0,0
2025-10-27 00:00:00+00:00,1,1,0,0
2025-10-28 00:00:00+00:00,1,1,0,0
2025-10-29 00:00:00+00:00,1,1,0,0
2025-10-30 00:00:00+00:00,1,1,0,0
2025-10-31 00:00:00+00:00,1,1,0,0
2025-11-01 00:00:00+00:00,1,1,0,0
2025-11-02 00:00:00+00:00,1,1,0,0
2025-11-03 00:00:00+00:00,1,1,0,0
2025-11-04 00:00:00+00:00,1,1,0,0
2025-11-05 00:00:00+00:00,1,1,0,0
2025-11-06 00:00:00+00:00,1,1,0,0
2025-11-07 00:00:00+00:00,1,1,1,1
2025-11-08 00:00:00+00:00,1,1,0,0
2025-11-09 00:00:00+00:00,1,1,0,0
2025-11-10 00:00:00+00:00,1,1,1,1
2025-11-11 00:00:00+00:00,1,1,0,0
2025-11-12 00:00:00+00:00,1,1,0,0
2025-11-13 00:00:00+00:00,7,7,4,1
2025-11-14 00:00:00+00:00,2,2,0,0
2025-11-15 00:00:00+00:00,5,5,0,0
2025-11-16 00:00:00+00:00,2,2,0,0
2025-11-17 00:00:00+00:00,6,6,0,0
